Players
Player	Teams	Maps	Rounds	K-D Diff	K/D	Rating
3.0
Russiadonk	Spirit	468	10147	+2606	1.38	1.40
FranceZywOo	Vitality	466	10135	+2763	1.47	1.35
Russiam0NESY	FalconsG2	493	10827	+2376	1.37	1.26
Russiakyousuke	FalconsSpirit Academy	431	9459	+1181	1.18	1.23
Russiakl1m	MIBRG2 Ares	229	4837	+1057	1.36	1.22
ArgentinaLuken	9zGaimin Gladiators	286	6025	+874	1.23	1.22
DenmarkblameF	BIGfnatic	600	13082	+2235	1.28	1.20
Australiaasap	THUNDER dOWNUNDERRooster	426	8736	+1101	1.20	1.20
ChinaJamYoung	TYLOO	423	9057	+947	1.16	1.19
Russiaslaxejezzz	QWENTRYHestaPsychoFace	333	7292	+710	1.14	1.19
Brazilinsani	MIBR	552	11761	+955	1.12	1.18
Russiash1ro	Spirit	410	8891	+2061	1.43	1.18
Russiadeko	WWAurora	497	10683	+1947	1.30	1.18
New ZealandADDICT	SemperFiBad News Kangaroosex-TALONTALONVERTEX	344	7153	+680	1.15	1.18
BrazilKSCERATO	FURIA	539	11660	+1286	1.18	1.18
BelarusMaSvAl	magicBetera	515	11404	+741	1.10	1.18
Brazillatto	Legacy	601	12848	+1454	1.18	1.18
New Zealandnettik	FlyQuestRoosterTALON	311	6550	+641	1.15	1.18
CanadaHexT	WildcardNRGM80	620	12693	+1241	1.16	1.17
RussiaqqGOD	Just SwingGR	204	4374	+289	1.10	1.17
Argentinatry	Passion UAImperial	419	9145	+1674	1.31	1.17
United Statesjunior	VocaNounsRaveBLUEJAYS	649	13471	+2565	1.33	1.17
AustraliaBiBiAhn	FlyQuest RED	218	4476	+360	1.12	1.17
Argentinatomaszin	BESTIA	659	14309	+1062	1.11	1.17
Brazilvsm	paiNFlamengoFluxoKeyd Stars	476	10239	+899	1.13	1.17
Kazakhstanmolodoy	FURIADMSAMKAL	422	9124	+1717	1.32	1.17
United StatesJeorge	VocaNRGNouns	624	12989	+1051	1.13	1.16
Swedennilo	HEROICMetizport	534	11563	+1323	1.17	1.16
RussiaMagnojez	BetBoom	673	14632	+783	1.08	1.16
IndiaPh1NNN	Gods Reign	227	4750	+409	1.13	1.16
TurkeyXANTARES	AuroraEternal Fire	497	11005	+1030	1.14	1.16
IsraelHeavyGod	G2Cloud9OG	487	10522	+891	1.13	1.16
Ukrainenpl	B8	711	15629	+1156	1.11	1.16
Ukrainecairne	TNLNinjas in PyjamasInner Circle	436	9497	+743	1.12	1.16
United StatesLake	M80Carpe Diem	490	10253	+475	1.07	1.16
Slovakiafrozen	FaZe	514	11272	+944	1.13	1.16
United StatesWolffe	LAGBLUEJAYSUnjustified	380	8063	+607	1.11	1.15
Brazilpiriajr	paiNBounty HuntersFluxoadalYamigos	551	11843	+1315	1.17	1.15
United StatesFawx	FlyQuest REDShimmerSupernova Comets	235	4898	+537	1.16	1.15
Bosnia and HerzegovinaNiKo	FalconsG2	515	11328	+910	1.12	1.15
Belarusgr1ks	BIGAurora Young BludAuroraAstrum	702	15398	+2631	1.29	1.15
United StatesZucar	regainASPYREDETONATE	238	5062	+32	1.01	1.15
Bulgariah4rn	AcendPompa	240	5195	+857	1.28	1.15
United Kingdomsmooya	Into the BreachThe Witchersfish123	477	10492	+1810	1.28	1.15
Estoniaropz	VitalityFaZe	545	11946	+1605	1.22	1.15
CanadaTwistzz	FaZeLiquid	505	10934	+843	1.12	1.15
PolandmhL	WildcardWildcard AcademyTALONFalcons	278	6017	+890	1.24	1.15
Russiadea	Getting InfoElevateVoca	463	9850	+1314	1.22	1.15
Polandvicu	NAVI JavelinsPigeonsEco WarriorsBIG EQUIPA	277	5773	+680	1.18	1.15
United Statesempathy	ShimmerSupernova CometsTSM ImpactSakura	292	6061	+258	1.06	1.15
Russiact0m	WW	233	4995	+336	1.10	1.14
Hungaryxelex	MOUZMOUZ NXT	298	6585	+558	1.13	1.14
Brazildumau	Legacy	601	12848	+1234	1.15	1.14
Mongoliask0R	The HunsEruption	315	6827	+734	1.16	1.14
BelgiumChucky	GenOne	391	8376	+1243	1.26	1.14
Russiar3salt	Nemesis9 PandasSangalFORZEAurora	830	17920	+1176	1.10	1.14
Russiatenzy	magicBetera	448	9973	+507	1.07	1.14
FranceASTRA	BIG EQUIPANAVI JavelinsFrance feLet Her CookZerance	202	4279	+346	1.13	1.14
Ukraineb1t	Natus Vincere	470	10117	+820	1.13	1.14
Kosovomakazze	Natus VincereNAVI Junior	567	12219	+444	1.05	1.14
United StatesBrehze	NRG	245	5030	+445	1.14	1.14
Chinaz4KR	Lynn Vision	384	8188	+991	1.20	1.14
MongoliaSenzu	The MongolZPassion UA	474	10455	+907	1.13	1.14
Swedenphzy	AstralisWildcard9INE	485	10250	+1350	1.22	1.14
Latviashadiy	SemperFi	331	7011	+686	1.15	1.14
SerbianEMANHA	Zero Tenacityillwill	1035	22713	+352	1.02	1.14
PolandxKacpersky	Ninjas in PyjamasENCEYoung Ninjas	455	9950	+282	1.04	1.14
MexicoMarKE	Getting InfoNounsRave	377	7982	+479	1.09	1.14
Brazilkoala	SharksGalorys	691	14766	+1605	1.18	1.14
SwedenMaiL09	AllianceJohnny SpeedsMetizport	352	7650	+609	1.12	1.13
Russiaflouzer	Nuclear TigeRES	375	8217	+422	1.08	1.13
Russiaz1Nny	BET-M33RUSH B	586	12755	+347	1.04	1.13
United StatesREKMEISTER	Chicken Coop	204	4349	+183	1.06	1.13
UkraineDawy	Inner CircleTNL	464	10154	+699	1.10	1.13
SlovakiaMATYS	G2fnatic	651	14114	+698	1.07	1.13
RussiaAlv	Ursa	341	7353	+1200	1.27	1.13
Germanyslaxz-	M80	557	11645	+1871	1.28	1.13
RomaniaANa	Imperial ValkyriesPigeons	222	4358	+652	1.25	1.13
MongoliaZesta	NEXVOIDATOXIHC	259	5604	+246	1.06	1.13
BulgariaRainwaker	Monte500	618	13594	+814	1.09	1.13
Chiledav1deuS	RED CanidspaiN	620	13438	+802	1.09	1.13
Russiamizu	HOTU	396	8573	+408	1.07	1.13
RussiaKaide	RUBYex-RUBY	729	15708	+883	1.08	1.13
Kazakhstandemente	Rune EatersALLINNERSFORZE Reload	245	5379	+361	1.10	1.13
ChinaChildKing	Rare Atom	368	7844	+476	1.09	1.13
IsraelflameZ	Vitality	466	10135	+372	1.06	1.13
Brazildoc	Sharks	786	16980	+903	1.08	1.13
Ukrainejambo	fnaticPassion UA	775	17031	+1915	1.18	1.13
CanadaBeaKie	FarmVilleTake FlyteReasonundefined	213	4660	+455	1.16	1.12
GuatemalamalbsMd	G2M80	528	11313	+439	1.06	1.12
Australiasliimey	RoosterMindfreak	342	7102	+638	1.14	1.12
Russiakashl1d	K27	415	9079	+1042	1.19	1.12
DenmarkLucky	SashiEspionage	801	17396	+1880	1.18	1.12
BelarustN1R	SpiritGUN5FORZEHEROIC	713	15653	+1053	1.10	1.12
Portugalewjerkz	SAWNinjas in Pyjamas	491	10575	+169	1.02	1.12
Argentinaluchov	9zBESTIA	717	15516	+472	1.04	1.12
United StatesInfinite	Party AstronautsVocaWildcard	337	7128	+265	1.06	1.12
UkraineOneUn1que	LeoL&G	472	10143	+613	1.09	1.12
United StatesPose1doNN	ZomblersTsunamiLimitless	305	6592	+922	1.22	1.12
KazakhstanHObbit	1winCloud9	431	9408	+682	1.11	1.12
MongoliaMiQ	NEXVOIDATOX	275	5931	+265	1.06	1.12
Russiad1Ledez	BetBoom9 Pandas	730	15808	+777	1.07	1.12
Brazilckzao	Fake do BiruFOLHA AMARELAIntenseadalYamigosElevate	324	6909	+265	1.06	1.12
